,prompt
4580,"###System:
Read the sentences provided and answer the corresponding question.
###Sentences:
some person do they. i think. well it always it.
###Question:
Correct the sentences. Give three corrected sentences.
###Answer:
some people do not they. i think so. well it is always on is not it."
4581,"###System:
Read the sentences provided and answer the corresponding question.
###Sentences:
it call hitlers channel. hitlers channel. it is it.
###Question:
Correct the sentences. Give three corrected sentences.
###Answer:
it should be called the hitler channel. the hitler channel. it is not it."
4582,"###System:
Read the sentences provided and answer the corresponding question.
###Sentences:
probably lot thing. they have curiosity. which you not find koreans.
###Question:
Correct the sentences. Give three corrected sentences.
###Answer:
probably a lot of things. they have a curiosity. which you do not often find with koreans."
4583,"###System:
Read the sentences provided and answer the corresponding question.
###Sentences:
they. not curious anything. they.
###Question:
Correct the sentences. Give three corrected sentences.
###Answer:
they are not interested. not curious about anything. they are not."
4584,"###System:
Read the sentences provided and answer the corresponding question.
###Sentences:
it nearly as. a people. small as i say.
###Question:
Correct the sentences. Give three corrected sentences.
###Answer:
it is nearly as. big as a person. small as the i cannot say."
4585,"###System:
Read the sentences provided and answer the corresponding question.
###Sentences:
like on beansprouts or something. well they er. yes they actually getting.
###Question:
Correct the sentences. Give three corrected sentences.
###Answer:
on like a on like a beansprout or something. well the they will er. yes they will actually be getting like."
4586,"###System:
Read the sentences provided and answer the corresponding question.
###Sentences:
i it. well i think she have made good nurses she. i know.
###Question:
Correct the sentences. Give three corrected sentences.
###Answer:
i am sure of it. well i think she would have made a good nurse would not she. i do not know."
4587,"###System:
Read the sentences provided and answer the corresponding question.
###Sentences:
oh it. it is. it is good.
###Question:
Correct the sentences. Give three corrected sentences.
###Answer:
oh was it good. it is fucking good. it is fucking good."
4588,"###System:
Read the sentences provided and answer the corresponding question.
###Sentences:
i am lethargic when i. look this shits. i use to play game you.
###Question:
Correct the sentences. Give three corrected sentences.
###Answer:
i am lethargic when i am hungry. look at this shit. did not i use to play games with you before."
4589,"###System:
Read the sentences provided and answer the corresponding question.
###Sentences:
someone israel. i er if you. yeah cos you get semitic languages.
###Question:
Correct the sentences. Give three corrected sentences.
###Answer:
someone from israel. i er if you are being anti semitic. semitic yeah cos do not you get semitic language."
4590,"###System:
Read the sentences provided and answer the corresponding question.
###Sentences:
cos cuneiform. cuneiform types writings. yeah but it after egyptians it.
###Question:
Correct the sentences. Give three corrected sentences.
###Answer:
cos cuneiform is. cuneiform is a type of writing. yeah but it is after the egyptians is not it."
4591,"###System:
Read the sentences provided and answer the corresponding question.
###Sentences:
is spelling old form english or this pronunciations. you sure. it very well be.
###Question:
Correct the sentences. Give three corrected sentences.
###Answer:
is this spelling of the old form of english or is this the pronunciation. are you sure. it may very well not be."
4592,"###System:
Read the sentences provided and answer the corresponding question.
###Sentences:
but dialect wholes. and sounds. what definitions of a language.
###Question:
Correct the sentences. Give three corrected sentences.
###Answer:
but a dialect the whole. and different sounds. what is the definition of a language."
4593,"###System:
Read the sentences provided and answer the corresponding question.
###Sentences:
it him so. so he undischarged. somebody bought the companies.
###Question:
Correct the sentences. Give three corrected sentences.
###Answer:
it was not him so. so he was not a undischarged bankrupt. somebody else had bought the company."
4594,"###System:
Read the sentences provided and answer the corresponding question.
###Sentences:
granddad. work down. these it yeah.
###Question:
Correct the sentences. Give three corrected sentences.
###Answer:
is that granddad. work down in. that is it yeah."
4595,"###System:
Read the sentences provided and answer the corresponding question.
###Sentences:
that have i not look. cos it never drawer is it. mm i going to have that bit.
###Question:
Correct the sentences. Give three corrected sentences.
###Answer:
that could not have been i did not look. cos it is never hard in that drawer is it. mm i am going to have that little bit there."
4596,"###System:
Read the sentences provided and answer the corresponding question.
###Sentences:
now say that. that is surprise you. hold bit.
###Question:
Correct the sentences. Give three corrected sentences.
###Answer:
now having said that. that is a surprise for you. now hold that bit."
4597,"###System:
Read the sentences provided and answer the corresponding question.
###Sentences:
oh she. oh that is. no she.
###Question:
Correct the sentences. Give three corrected sentences.
###Answer:
oh will she. oh that is good. no she will not."
4598,"###System:
Read the sentences provided and answer the corresponding question.
###Sentences:
you if it in fridge it alright. no it right. if you get it freezer and put it fridge.
###Question:
Correct the sentences. Give three corrected sentences.
###Answer:
can you if it is been in the fridge will it be alright. no it will be right. if you got it out the freezer and put it in the fridge."
4599,"###System:
Read the sentences provided and answer the corresponding question.
###Sentences:
well it you kill you kill bacteria. you know bacterium. i cook it.
###Question:
Correct the sentences. Give three corrected sentences.
###Answer:
well it is you kill you kill all the bacteria. you know all the bacteria. i cooked it for."
4600,"###System:
Read the sentences provided and answer the corresponding question.
###Sentences:
you stay there. okay well everyone busy. unless you i just put things the fridges.
###Question:
Correct the sentences. Give three corrected sentences.
###Answer:
you can stay there. okay well everyone is been busy. unless you are i will just put the things in the fridge."
4601,"###System:
Read the sentences provided and answer the corresponding question.
###Sentences:
and ones that keep going passengers side. and it erm. yeah why.
###Question:
Correct the sentences. Give three corrected sentences.
###Answer:
and the one that was keeping going was the passenger side. and it was the erm. yeah why not."
4602,"###System:
Read the sentences provided and answer the corresponding question.
###Sentences:
it all gone look. see the bottom bit bit crispy it. i book bottom i.
###Question:
Correct the sentences. Give three corrected sentences.
###Answer:
it is all gone now look. see the bottom bit should really bit crispy should not it. perhaps i should have booked the bottom first before i."
4603,"###System:
Read the sentences provided and answer the corresponding question.
###Sentences:
it seem you know odd. patients groped. it nineteen seventy.
###Question:
Correct the sentences. Give three corrected sentences.
###Answer:
it would seem so you know the odd. the odd patient getting groped. it was nineteen seventy."
4604,"###System:
Read the sentences provided and answer the corresponding question.
###Sentences:
otherwise everyone jail. they. go portugal and.
###Question:
Correct the sentences. Give three corrected sentences.
###Answer:
otherwise everyone would be in jail. would not they. to go to portugal and."
4605,"###System:
Read the sentences provided and answer the corresponding question.
###Sentences:
why she want start conversation. i got ideas. by way.
###Question:
Correct the sentences. Give three corrected sentences.
###Answer:
why does she want to start a conversation. i have got no idea. by the way."
4606,"###System:
Read the sentences provided and answer the corresponding question.
###Sentences:
mm well edie was dogs. lucy. lucies a psychoes dogs.
###Question:
Correct the sentences. Give three corrected sentences.
###Answer:
mm well edie was a happy dog. lucy were not. no lucy was a psycho dog."
4607,"###System:
Read the sentences provided and answer the corresponding question.
###Sentences:
and that three weeks. and that to go mumbai. what two you.
###Question:
Correct the sentences. Give three corrected sentences.
###Answer:
and that was for three weeks. and that was to go to mumbai. what for the two of you."
4608,"###System:
Read the sentences provided and answer the corresponding question.
###Sentences:
oh know. it certainly not farm. hundred per cents farm.
###Question:
Correct the sentences. Give three corrected sentences.
###Answer:
oh do not know. it certainly was not the farm. hundred per cent was not the farm."
4609,"###System:
Read the sentences provided and answer the corresponding question.
###Sentences:
not east seventeen either it. erm not know. you it not farms.
###Question:
Correct the sentences. Give three corrected sentences.
###Answer:
was not east seventeen either was it. erm do not know. are you sure it was not the farm."
4610,"###System:
Read the sentences provided and answer the corresponding question.
###Sentences:
er why it feel good. what it call. i know er.
###Question:
Correct the sentences. Give three corrected sentences.
###Answer:
er why does it feel so good. what is it called. i do not know er."
4611,"###System:
Read the sentences provided and answer the corresponding question.
###Sentences:
yeah wee the days. ones is this. erm it a.
###Question:
Correct the sentences. Give three corrected sentences.
###Answer:
yeah first wee of the day. which one is this. erm it is a."
4612,"###System:
Read the sentences provided and answer the corresponding question.
###Sentences:
probably in that bit slides. oh yeah i it. things i know i recognise songs.
###Question:
Correct the sentences. Give three corrected sentences.
###Answer:
probably in that bit with the slide. oh yeah i am worth it. thing is i know i recognise all these songs."
4613,"###System:
Read the sentences provided and answer the corresponding question.
###Sentences:
our first things pony ridings is it. it something. i do think no.
###Question:
Correct the sentences. Give three corrected sentences.
###Answer:
our first thing is not pony riding though is it. it is something else. i do not think so no."
4614,"###System:
Read the sentences provided and answer the corresponding question.
###Sentences:
it so glowing. it glow. it just bright.
###Question:
Correct the sentences. Give three corrected sentences.
###Answer:
it is so not glowing. it is not glowing. it is just bright."
4615,"###System:
Read the sentences provided and answer the corresponding question.
###Sentences:
no colours. in our heads. no nothing colour.
###Question:
Correct the sentences. Give three corrected sentences.
###Answer:
this no colour. not in my head. no nothing is colour."
4616,"###System:
Read the sentences provided and answer the corresponding question.
###Sentences:
yes she produce music she looking day. she is erms. erm lady.
###Question:
Correct the sentences. Give three corrected sentences.
###Answer:
yes she is producing music she was not looking great in those days. she is a erm. erm full set lady."
4617,"###System:
Read the sentences provided and answer the corresponding question.
###Sentences:
it would occur me. tell me that now i got images bloody eye. of bloody eye.
###Question:
Correct the sentences. Give three corrected sentences.
###Answer:
it would never occur to me. do not tell me that now i have got an image of a bloody eye. of a bloody eye."
4618,"###System:
Read the sentences provided and answer the corresponding question.
###Sentences:
you finished. do fart. at dinner tables.
###Question:
Correct the sentences. Give three corrected sentences.
###Answer:
are you finished. do not fart. at the dinner table."
4619,"###System:
Read the sentences provided and answer the corresponding question.
###Sentences:
yes i. you finished. yeah i wash my hand but eat all them.
###Question:
Correct the sentences. Give three corrected sentences.
###Answer:
yes i am. are you finished. yeah i am washing my hands but do not eat all of them."
4620,"###System:
Read the sentences provided and answer the corresponding question.
###Sentences:
whoever it. are you just dropping chicken ground again. that really er.
###Question:
Correct the sentences. Give three corrected sentences.
###Answer:
whoever it is. are you just dropping the chicken on the ground again. that is really er cheeky."
4621,"###System:
Read the sentences provided and answer the corresponding question.
###Sentences:
i try and wear them times. way way. nothing there be.
###Question:
Correct the sentences. Give three corrected sentences.
###Answer:
i will try and wear them all the time. no way no way. no nothing there is there."
4622,"###System:
Read the sentences provided and answer the corresponding question.
###Sentences:
er alternatives bus which is. well you have leave so that. well no it as bad er.
###Question:
Correct the sentences. Give three corrected sentences.
###Answer:
er the alternative is bus to which is perfectly possible. well you would have to leave so early that. well no it is just as bad as er."
4623,"###System:
Read the sentences provided and answer the corresponding question.
###Sentences:
i sure where bus go in. i aware that there be station. i think actually i think they go.
###Question:
Correct the sentences. Give three corrected sentences.
###Answer:
i am not sure where the bus goes to in. i am not aware that there is a station particularly. i think actually i think they do go close to."
4624,"###System:
Read the sentences provided and answer the corresponding question.
###Sentences:
yeah enough. okay well. we going to.
###Question:
Correct the sentences. Give three corrected sentences.
###Answer:
yeah fair enough. okay well then. we are going to."
4625,"###System:
Read the sentences provided and answer the corresponding question.
###Sentences:
this is. it is. okay well notes.
###Question:
Correct the sentences. Give three corrected sentences.
###Answer:
this is ridiculous. it is ridiculous. okay well mental note."
4626,"###System:
Read the sentences provided and answer the corresponding question.
###Sentences:
cos it got ls plates sides. i sorry. i bothered.
###Question:
Correct the sentences. Give three corrected sentences.
###Answer:
cos it is got l plates on the side as well. i am sorry. i cannot be bothered."
4627,"###System:
Read the sentences provided and answer the corresponding question.
###Sentences:
risk it. well that explain traffic anyway. well it means future we predict it.
###Question:
Correct the sentences. Give three corrected sentences.
###Answer:
cannot risk it. well that explains the horrendous traffic anyway. well it means in future we can predict it basically."
4628,"###System:
Read the sentences provided and answer the corresponding question.
###Sentences:
i am confident. treks yeah. erm is full.
###Question:
Correct the sentences. Give three corrected sentences.
###Answer:
i am not confident. a trek yeah. erm is probably full."
4629,"###System:
Read the sentences provided and answer the corresponding question.
###Sentences:
oh mediterranean one. yeah these nice. yeah those.
###Question:
Correct the sentences. Give three corrected sentences.
###Answer:
oh the mediterranean one. yeah that is a nice. yeah that is nice."
4630,"###System:
Read the sentences provided and answer the corresponding question.
###Sentences:
i have click. it that experiences is it. no it.
###Question:
Correct the sentences. Give three corrected sentences.
###Answer:
i have clicked on voucher. it is not that virgin experience is it. no it could be."
4631,"###System:
Read the sentences provided and answer the corresponding question.
###Sentences:
well courses. ah look giraffes. ah that.
###Question:
Correct the sentences. Give three corrected sentences.
###Answer:
well of course. ah look at the giraffes. ah that is cute."
4632,"###System:
Read the sentences provided and answer the corresponding question.
###Sentences:
i get bonsai. we get lots of plant. where they.
###Question:
Correct the sentences. Give three corrected sentences.
###Answer:
i have got a bonsai. we have got quite a lot of potted plants. where are they."
4633,"###System:
Read the sentences provided and answer the corresponding question.
###Sentences:
i can. yeah lots woodwork and irons. i not know.
###Question:
Correct the sentences. Give three corrected sentences.
###Answer:
i cannot really. yeah lots of old woodwork and wrought iron. i do not know."
4634,"###System:
Read the sentences provided and answer the corresponding question.
###Sentences:
it shops. it showrooms. next it was biggest.
###Question:
Correct the sentences. Give three corrected sentences.
###Answer:
it was shop. it was a huge showroom. next to it was the biggest."
4635,"###System:
Read the sentences provided and answer the corresponding question.
###Sentences:
worlds and it fascinating. look. we go we looked windows.
###Question:
Correct the sentences. Give three corrected sentences.
###Answer:
the world and it was fascinating. to look at. we did not go in we just looked through the windows."
4636,"###System:
Read the sentences provided and answer the corresponding question.
###Sentences:
and. when you your teens. seriously fifteen are.
###Question:
Correct the sentences. Give three corrected sentences.
###Answer:
so and again. when you were in your teens. seriously under fifteens are free."
4637,"###System:
Read the sentences provided and answer the corresponding question.
###Sentences:
and a drink. this good. that nuts.
###Question:
Correct the sentences. Give three corrected sentences.
###Answer:
and a free drink. that is good. that is nuts."
4638,"###System:
Read the sentences provided and answer the corresponding question.
###Sentences:
a glasses wine. a pint whatever. well menus last nights.
###Question:
Correct the sentences. Give three corrected sentences.
###Answer:
a glass of wine. a pint of whatever. well on this menu last night."
4639,"###System:
Read the sentences provided and answer the corresponding question.
###Sentences:
and rooms. wider and this near that further. hey why their house so.
###Question:
Correct the sentences. Give three corrected sentences.
###Answer:
and this room. not much wider and this near that much further. hey why is our house so small."
4640,"###System:
Read the sentences provided and answer the corresponding question.
###Sentences:
what would those. it pink stand or a stand. it could list for birthday potential not it.
###Question:
Correct the sentences. Give three corrected sentences.
###Answer:
what would that be. would it be a pink stand or a blue stand. it could be on the list for birthday potentials could not it."
4641,"###System:
Read the sentences provided and answer the corresponding question.
###Sentences:
yeah which delicate twelve month. well it my faults it. chuck sec.
###Question:
Correct the sentences. Give three corrected sentences.
###Answer:
yeah which was very delicate for twelve months. well it was not my fault was it. chuck a sec."
4642,"###System:
Read the sentences provided and answer the corresponding question.
###Sentences:
they eaten it. some it. what in there.
###Question:
Correct the sentences. Give three corrected sentences.
###Answer:
have they eaten it. some of it. what is in there."
4643,"###System:
Read the sentences provided and answer the corresponding question.
###Sentences:
they got to put soil. it start. well they do.
###Question:
Correct the sentences. Give three corrected sentences.
###Answer:
they have got to put the soil somewhere. does not it start somewhere. well they must do."
4644,"###System:
Read the sentences provided and answer the corresponding question.
###Sentences:
but host one host one. is be fun. yeah i think.
###Question:
Correct the sentences. Give three corrected sentences.
###Answer:
but a hosted ones a hosted one. will be is would be great fun. yeah i think so."
4645,"###System:
Read the sentences provided and answer the corresponding question.
###Sentences:
brie something and black cat. what foremills the well talk. full fat milk.
###Question:
Correct the sentences. Give three corrected sentences.
###Answer:
the brie the something and the black cat. what was the foremill was the well talking about. was the full fat milk alright."
4646,"###System:
Read the sentences provided and answer the corresponding question.
###Sentences:
this cute. it. mouse not bad it.
###Question:
Correct the sentences. Give three corrected sentences.
###Answer:
that is cute. it is funny. mice are not bad it is."
4647,"###System:
Read the sentences provided and answer the corresponding question.
###Sentences:
it is. i. but panelling good and it.
###Question:
Correct the sentences. Give three corrected sentences.
###Answer:
it is still there. i was not happy. but the panelling was good and it is."
4648,"###System:
Read the sentences provided and answer the corresponding question.
###Sentences:
i would. paint it well if somebody. time so.
###Question:
Correct the sentences. Give three corrected sentences.
###Answer:
i would be happy. to paint it as well like if somebody could. long time ago so."
4649,"###System:
Read the sentences provided and answer the corresponding question.
###Sentences:
so we okay. we pull these out. because it might here.
###Question:
Correct the sentences. Give three corrected sentences.
###Answer:
so we are okay. actually can we just pull this out. because it might be underneath here."
4650,"###System:
Read the sentences provided and answer the corresponding question.
###Sentences:
that. how they say it. out bottles.
###Question:
Correct the sentences. Give three corrected sentences.
###Answer:
that was not. how were they are saying it. out in the bottle."
4651,"###System:
Read the sentences provided and answer the corresponding question.
###Sentences:
milk yeah. yeah and it. that the things not it.
###Question:
Correct the sentences. Give three corrected sentences.
###Answer:
unpasteurised milk yeah. yeah and it is delicious. that is the thing is not it."
4652,"###System:
Read the sentences provided and answer the corresponding question.
###Sentences:
he warm now. ah he cute. i say that i.
###Question:
Correct the sentences. Give three corrected sentences.
###Answer:
he is warm now. ah he is so cute. i would say that would not i."
4653,"###System:
Read the sentences provided and answer the corresponding question.
###Sentences:
it set. it them. once we warrior.
###Question:
Correct the sentences. Give three corrected sentences.
###Answer:
it was set. it is a really famous them. once we were warriors."
4654,"###System:
Read the sentences provided and answer the corresponding question.
###Sentences:
these thing is it. i not the national front. those thing research it.
###Question:
Correct the sentences. Give three corrected sentences.
###Answer:
that is the thing is not it. i am not in the national front. that is the thing with research is not it."
4655,"###System:
Read the sentences provided and answer the corresponding question.
###Sentences:
yeah and it. no we do. it remakes of originals.
###Question:
Correct the sentences. Give three corrected sentences.
###Answer:
yeah and it is into. no we do not. it is a remake of an original."
4656,"###System:
Read the sentences provided and answer the corresponding question.
###Sentences:
we have few minute. it good not it. i splice though.
###Question:
Correct the sentences. Give three corrected sentences.
###Answer:
we only have a few minutes. it is good though is not it. i can splice though."
4657,"###System:
Read the sentences provided and answer the corresponding question.
###Sentences:
she doing something her computer. no do cry. do cry me.
###Question:
Correct the sentences. Give three corrected sentences.
###Answer:
she is doing something on her computer. no do not cry. do not cry for me."
4658,"###System:
Read the sentences provided and answer the corresponding question.
###Sentences:
he gets little shocks. i baby. look your stubble.
###Question:
Correct the sentences. Give three corrected sentences.
###Answer:
he just gets a little shock. i am sorry baby. look at all his stubble."
4659,"###System:
Read the sentences provided and answer the corresponding question.
###Sentences:
just saying hold paper. hold front page. hold front doors.
###Question:
Correct the sentences. Give three corrected sentences.
###Answer:
just saying hold the front paper. hold the front page. hold the front door."
4660,"###System:
Read the sentences provided and answer the corresponding question.
###Sentences:
i told you mention those. alright this people rocketies things. it is jetpack.
###Question:
Correct the sentences. Give three corrected sentences.
###Answer:
i told you not to mention that. alright is this a lego person this rockety thing. it is a jetpack."
4661,"###System:
Read the sentences provided and answer the corresponding question.
###Sentences:
you ever see. anybody comment you being. brownies promise evenings.
###Question:
Correct the sentences. Give three corrected sentences.
###Answer:
have you ever seen. did anybody comment on you being. at the brownies promise evening."
4662,"###System:
Read the sentences provided and answer the corresponding question.
###Sentences:
if you keep ask that her way. slow process down so you have do anything. that go.
###Question:
Correct the sentences. Give three corrected sentences.
###Answer:
if you keep asking that is just your way of. slowing the process down so you do not actually have to do anything. this does not go in there."
4663,"###System:
Read the sentences provided and answer the corresponding question.
###Sentences:
cog are technic. well i not understand why they go technic drawers. because they certain types wheel.
###Question:
Correct the sentences. Give three corrected sentences.
###Answer:
all cogs are lego technic. well i do not understand why they are not going in the lego technic drawer. because they are a certain type of wheel."
4664,"###System:
Read the sentences provided and answer the corresponding question.
###Sentences:
erm this go it actually window it is windscreen. it is okay. well that window.
###Question:
Correct the sentences. Give three corrected sentences.
###Answer:
erm that would go there it is not actually a window it is a windscreen. it is a windscreen okay. well that is a window."
4665,"###System:
Read the sentences provided and answer the corresponding question.
###Sentences:
it lego technics. right what this. these clock.
###Question:
Correct the sentences. Give three corrected sentences.
###Answer:
it could be lego technic. right what is this. that is a clock."
4666,"###System:
Read the sentences provided and answer the corresponding question.
###Sentences:
you remember. you finish his mixes songs. get perform it.
###Question:
Correct the sentences. Give three corrected sentences.
###Answer:
you cannot remember. have you finished your little mix song then. get to perform it."
4667,"###System:
Read the sentences provided and answer the corresponding question.
###Sentences:
they still not very i get. is one. i on scavenger hunts.
###Question:
Correct the sentences. Give three corrected sentences.
###Answer:
they are still not very i could never get. here is the second one. i am on a scavenger hunt."
4668,"###System:
Read the sentences provided and answer the corresponding question.
###Sentences:
it we all those. so you lucky. that happen you.
###Question:
Correct the sentences. Give three corrected sentences.
###Answer:
so it is we all that in common. so you are very lucky. that does not happen to you."
4669,"###System:
Read the sentences provided and answer the corresponding question.
###Sentences:
stop say time. pieces lego went. we getting there guys we go very much do.
###Question:
Correct the sentences. Give three corrected sentences.
###Answer:
stop saying duh all the time. a piece of lego went. we are getting there guys we have not go very much to do."
4670,"###System:
Read the sentences provided and answer the corresponding question.
###Sentences:
who it. it neons. who he.
###Question:
Correct the sentences. Give three corrected sentences.
###Answer:
who is it. it is neon. who is he."
4671,"###System:
Read the sentences provided and answer the corresponding question.
###Sentences:
and what happen. and he kill bart. although bart really.
###Question:
Correct the sentences. Give three corrected sentences.
###Answer:
and then what happens. and then he nearly kills bart. although bart being a really smart."
4672,"###System:
Read the sentences provided and answer the corresponding question.
###Sentences:
and what. and pencils. music apps and phone.
###Question:
Correct the sentences. Give three corrected sentences.
###Answer:
and a what. and a pencil. a music app and a phone."
4673,"###System:
Read the sentences provided and answer the corresponding question.
###Sentences:
i know that. wait where. there be dog.
###Question:
Correct the sentences. Give three corrected sentences.
###Answer:
i did not know that. wait where is. there is the dog."
4674,"###System:
Read the sentences provided and answer the corresponding question.
###Sentences:
yeah they. i think no. pinks reds.
###Question:
Correct the sentences. Give three corrected sentences.
###Answer:
yeah they are. i thought the pink no. the pink was with the reds."
4675,"###System:
Read the sentences provided and answer the corresponding question.
###Sentences:
with mistake. look we so finish this. we.
###Question:
Correct the sentences. Give three corrected sentences.
###Answer:
with a mistake. look we are so close to finishing this. are not we."
4676,"###System:
Read the sentences provided and answer the corresponding question.
###Sentences:
what those. i privacy off your head. you think i.
###Question:
Correct the sentences. Give three corrected sentences.
###Answer:
what is this. i do not privacy off with your head. you think i will be."
4677,"###System:
Read the sentences provided and answer the corresponding question.
###Sentences:
i mean. lot of difference there. yeah irish seas erm marshland.
###Question:
Correct the sentences. Give three corrected sentences.
###Answer:
i mean certainly. not a lot of difference there. yeah the irish sea was erm was marshland."
4678,"###System:
Read the sentences provided and answer the corresponding question.
###Sentences:
they supposed to that. they are suppose. they probably are.
###Question:
Correct the sentences. Give three corrected sentences.
###Answer:
they are supposed to be that deep. they are supposed to be. they probably are not."
4679,"###System:
Read the sentences provided and answer the corresponding question.
###Sentences:
and it replaced by ones. oh it. did you did you.
###Question:
Correct the sentences. Give three corrected sentences.
###Answer:
and it was replaced by another one. oh was it. did not you did not you."
4680,"###System:
Read the sentences provided and answer the corresponding question.
###Sentences:
on sides. or other. yeah well it call it.
###Question:
Correct the sentences. Give three corrected sentences.
###Answer:
on the side. or the other. yeah well it was called then was not it."
4681,"###System:
Read the sentences provided and answer the corresponding question.
###Sentences:
all radiators. yeah the pipework. pipeworks everything has.
###Question:
Correct the sentences. Give three corrected sentences.
###Answer:
all the radiators. yeah all the pipework. all the pipework everything has."
4682,"###System:
Read the sentences provided and answer the corresponding question.
###Sentences:
in our areas. it our area. and those two phones call you pay.
###Question:
Correct the sentences. Give three corrected sentences.
###Answer:
not in our area. it is not our area. and that is two phone calls you have paid for."
4683,"###System:
Read the sentences provided and answer the corresponding question.
###Sentences:
that lots of money then. not it. yeah it.
###Question:
Correct the sentences. Give three corrected sentences.
###Answer:
that was a lot of money then. were not it. yeah it was."
4684,"###System:
Read the sentences provided and answer the corresponding question.
###Sentences:
yeah well even in mornings. but everybody who. but at times year you.
###Question:
Correct the sentences. Give three corrected sentences.
###Answer:
yeah well even in the morning sometimes. but everybody who is. but at this time of year you."
4685,"###System:
Read the sentences provided and answer the corresponding question.
###Sentences:
it get wet. it okay. it been brilliant.
###Question:
Correct the sentences. Give three corrected sentences.
###Answer:
has it got wet. it is okay. it is been brilliant."
4686,"###System:
Read the sentences provided and answer the corresponding question.
###Sentences:
drip you need get that. we get the. you go put strip where it go gutter.
###Question:
Correct the sentences. Give three corrected sentences.
###Answer:
the drip you need to get that. we have got the. you were going to put the strip along where it goes in the gutter."
4687,"###System:
Read the sentences provided and answer the corresponding question.
###Sentences:
with sealant. this do yeah. on outside.
###Question:
Correct the sentences. Give three corrected sentences.
###Answer:
with a sealant. that will do yeah. on the outside."
4688,"###System:
Read the sentences provided and answer the corresponding question.
###Sentences:
you use them. probably will you. you use couples do you.
###Question:
Correct the sentences. Give three corrected sentences.
###Answer:
will you use them. probably will not will you. you only use a couple do not you."
4689,"###System:
Read the sentences provided and answer the corresponding question.
###Sentences:
what he doing. this plans all along. you come in.
###Question:
Correct the sentences. Give three corrected sentences.
###Answer:
what is he doing. this was the plan all along. are you coming in."
4690,"###System:
Read the sentences provided and answer the corresponding question.
###Sentences:
i like i patterns. of ceilings. yeah that nice.
###Question:
Correct the sentences. Give three corrected sentences.
###Answer:
i like also i like the pattern. of this ceiling. yeah that is nice."
4691,"###System:
Read the sentences provided and answer the corresponding question.
###Sentences:
look stonehenges block. not get it. be in right.
###Question:
Correct the sentences. Give three corrected sentences.
###Answer:
look like stonehenge blocks now. do not get it. could be in right now."
4692,"###System:
Read the sentences provided and answer the corresponding question.
###Sentences:
this so in here. this. you destroy the doors.
###Question:
Correct the sentences. Give three corrected sentences.
###Answer:
this is so hot in here. this is well hot. did you just destroy the door."
4693,"###System:
Read the sentences provided and answer the corresponding question.
###Sentences:
it like skylight type thing. no nothing that. yeah it literally it just it.
###Question:
Correct the sentences. Give three corrected sentences.
###Answer:
is it like a skylight type thing. no nothing like that. yeah it is literally it is just it is."
4694,"###System:
Read the sentences provided and answer the corresponding question.
###Sentences:
classic lines cheater. i know what it means. work have to work late.
###Question:
Correct the sentences. Give three corrected sentences.
###Answer:
classic line every cheater. i do not know what it means. have to work late have to work late."
4695,"###System:
Read the sentences provided and answer the corresponding question.
###Sentences:
like walls art. wall arts very. fit for brothel.
###Question:
Correct the sentences. Give three corrected sentences.
###Answer:
like the wall art. the wall art was very erm. fitting for the brothel."
4696,"###System:
Read the sentences provided and answer the corresponding question.
###Sentences:
why you angry it then. we do want to talk it. an idiots.
###Question:
Correct the sentences. Give three corrected sentences.
###Answer:
why are you be angry about it then. we will do not want to talk about it now. such an idiot."
4697,"###System:
Read the sentences provided and answer the corresponding question.
###Sentences:
food really just. food it really good. it nice saw mary berry.
###Question:
Correct the sentences. Give three corrected sentences.
###Answer:
just food really just. food it was really good actually. it was really nice saw mary berry."
4698,"###System:
Read the sentences provided and answer the corresponding question.
###Sentences:
she. how she. she so nice she so earth and.
###Question:
Correct the sentences. Give three corrected sentences.
###Answer:
so she was. how was she. she was so nice she was so down to earth and."
4699,"###System:
Read the sentences provided and answer the corresponding question.
###Sentences:
i said i give. i eaten them them yeah i have eaten thing. i yum yum.
###Question:
Correct the sentences. Give three corrected sentences.
###Answer:
i would have probably said i would have probably given. i would have eaten them yeah i would have eaten the whole thing. i would be like yum yum."
4700,"###System:
Read the sentences provided and answer the corresponding question.
###Sentences:
if you say. each their. it oh.
###Question:
Correct the sentences. Give three corrected sentences.
###Answer:
if you say so. each to their own. it is oh."
4701,"###System:
Read the sentences provided and answer the corresponding question.
###Sentences:
up on the road road into. yes that where. is it.
###Question:
Correct the sentences. Give three corrected sentences.
###Answer:
up on the on the road main road into. yes that is where. the is not it."
4702,"###System:
Read the sentences provided and answer the corresponding question.
###Sentences:
oh well you next water you. you want minces pies. they though.
###Question:
Correct the sentences. Give three corrected sentences.
###Answer:
oh well you are next at water are not you. do you want a mince pie. they are not right though."
4703,"###System:
Read the sentences provided and answer the corresponding question.
###Sentences:
cos i. we have er listen rain. it absolutely heaving.
###Question:
Correct the sentences. Give three corrected sentences.
###Answer:
cos i particularly. we had er listen to that rain. it is absolutely heaving."
4704,"###System:
Read the sentences provided and answer the corresponding question.
###Sentences:
it good one. it frozen one. or.
###Question:
Correct the sentences. Give three corrected sentences.
###Answer:
it was good one. was it a frozen one. or a fresh."
4705,"###System:
Read the sentences provided and answer the corresponding question.
###Sentences:
oh these will. tipples now and again. well very.
###Question:
Correct the sentences. Give three corrected sentences.
###Answer:
oh that will be nice. be a tipple now and again. well very good."
